"term","estimate","std.error","statistic","p.value","group"
"itemart_01_r",0.2294,0.0736,3.1147,0.0018,"fixed"
"itemart_02_r",1.4757,0.0793,18.5979,0,"fixed"
"itemart_03_r",0.198,0.0736,2.6899,0.0071,"fixed"
"itemart_04_r",1.968,0.0926,21.2555,0,"fixed"
"itemart_05_r",0.8813,0.0772,11.4192,0,"fixed"
"itemart_06_r",0.5896,0.0751,7.8469,0,"fixed"
"itemart_07_r",-0.6083,0.074,-8.2219,0,"fixed"
"itemart_08_r",1.2524,0.0808,15.4969,0,"fixed"
"itemart_09_r",-0.0254,0.0732,-0.3472,0.7284,"fixed"
"itemart_10_r",1.7998,0.0892,20.1796,0,"fixed"
"itemart_11_r",-0.3638,0.0733,-4.9612,0,"fixed"
"itemart_12_r",0.7764,0.0763,10.1796,0,"fixed"
"itemart_13_r",0.3468,0.0705,4.9176,0,"fixed"
"itemart_14_r",-0.3113,0.0733,-4.2496,0,"fixed"
"itemart_15_r",0.6065,0.0716,8.4697,0,"fixed"
"itemcop_01_r",1.3493,0.0778,17.3435,0,"fixed"
"itemcop_02_r",2.7986,0.117,23.9231,0,"fixed"
"itemcop_03_r",1.0139,0.0744,13.6256,0,"fixed"
"itemcop_04_r",0.7516,0.0762,9.8688,0,"fixed"
"itemcop_05_r",-1.0145,0.0719,-14.1142,0,"fixed"
"itemcop_06_r",1.4796,0.0794,18.6348,0,"fixed"
"itemcop_07_r",3.0927,0.1208,25.6072,0,"fixed"
"itemcop_08_r",1.3345,0.0776,17.1895,0,"fixed"
"itemcop_09_r",3.7824,0.1677,22.5536,0,"fixed"
"itemcop_10_r",2.3445,0.0959,24.4483,0,"fixed"
"itemrep_01_r",-0.3433,0.0697,-4.9287,0,"fixed"
"itemrep_02_r",-0.7339,0.0745,-9.8517,0,"fixed"
"itemrep_03_r",1.2017,0.0803,14.9692,0,"fixed"
"itemrep_04_r",0.3468,0.0705,4.9182,0,"fixed"
"itemrep_05_r",0.0796,0.0733,1.0856,0.2777,"fixed"
"itemspa1_01_r",1.6365,0.1261,12.9789,0,"fixed"
"itemspa1_02_r",0.1683,0.1048,1.605,0.1085,"fixed"
"itemspa1_03_r",2.2105,0.1459,15.1548,0,"fixed"
"itemspa1_04_r",1.9534,0.1359,14.3696,0,"fixed"
"itemspa1_05_r",2.4752,0.1581,15.6574,0,"fixed"
"itemspa1_06_r",2.1377,0.1429,14.9582,0,"fixed"
"itemspa1_07_r",2.2293,0.1467,15.1927,0,"fixed"
"itemspa1_08_r",2.1737,0.1444,15.052,0,"fixed"
"itemspa1_09_r",2.3885,0.1538,15.5257,0,"fixed"
"itemspa1_10_r",1.9535,0.136,14.3654,0,"fixed"
"itemspa1_11_r",1.7735,0.1301,13.6318,0,"fixed"
"itemspa1_12_r",2.2675,0.1484,15.284,0,"fixed"
"itemspa1_13_r",-0.2166,0.1046,-2.0706,0.0384,"fixed"
